instance,algorithm,seed,objv,lb,bkv,bklb,slope,wind
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,1,832.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,4,832.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,5,832.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,3,832.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,7,832.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,6,832.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,7,896.0,428.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,4,899.0,434.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,9,860.0,419.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,10,875.0,431.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,1,896.0,397.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,6,854.0,425.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,8,898.0,439.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,3,895.0,426.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,5,896.0,444.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,2,830.0,417.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,9,890.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,4,890.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,10,894.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,3,890.0,0.0,564.0,444.0,Steep,Light
