instance,algorithm,seed,objv,lb,bkv,bklb,first_release_time,last_release_time
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,LBBD,7,900.0,448.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,LBBD,2,508.0,457.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,LBBD,3,899.0,463.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,LBBD,5,900.0,437.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,LBBD,10,807.0,471.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,LBBD,9,899.0,457.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,LBBD,8,821.0,452.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,7,892.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,5,894.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,6,897.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,9,890.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,3,892.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,8,890.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,4,898.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,2,892.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,10,891.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,ILS,1,897.0,0.0,508.0,487.0,VeryLate,VeryEarly
