instance,algorithm,seed,objv
LB1,IBS_04,4,196
LB4,IBS_04,6,226
LA5,IBS_04,7,226
LA4,IBS_04,3,216
LB4,IBS_04,7,226
LB2,IBS_04,9,197
LA6,IBS_04,6,239
LB0,IBS_04,7,196
LA6,IBS_04,5,239
LB3,IBS_04,3,213
LB3,IBS_04,7,213
LA5,IBS_04,3,226
LB6,IBS_04,10,249
LA3,IBS_04,9,207
LB0,IBS_04,4,196
LA1,IBS_04,2,189
LA0,IBS_04,4,189
LA3,IBS_04,10,207
LB3,IBS_04,10,213
LA2,IBS_04,9,190
LB5,IBS_04,10,235
LB6,IBS_04,3,249
LA0,IBS_04,7,189
LB3,IBS_06,1,213
LA2,IBS_06,3,192
LA5,IBS_06,10,226
LB7,IBS_06,8,253
LB2,IBS_06,8,197
LB2,IBS_06,2,197
LA3,IBS_06,8,207
LA7,IBS_06,2,246
LB1,IBS_06,6,196
LB0,IBS_06,5,196
LA2,IBS_06,10,192
LA5,IBS_06,3,226
LB1,IBS_06,4,196
LB5,IBS_06,6,235
LA7,IBS_06,8,246
LA0,IBS_06,7,189
LB5,IBS_06,1,235
LA0,IBS_06,4,189
LB3,IBS_06,3,213
LA7,IBS_06,5,246
LA2,IBS_06,6,191
LB6,IBS_06,8,249
LA5,IBS_06,4,226
LB6,IBS_06,5,249
LA1,IBS_06,3,189
LB4,IBS_06,9,226
LA4,IBS_06,6,216
LB5,IBS_06,3,235
LB0,IBS_06,2,198
LB4,IBS_06,7,226
LB5,IBS_06,8,235
LA7,IBS_06,7,246
LA4,IBS_06,4,216
LA4,IBS_06,3,216
LB4,IBS_06,3,226
LB0,IBS_06,9,197
LB4,IBS_06,4,226
LA6,IBS_06,7,239
LA1,IBS_06,7,189
LB1,IBS_06,9,196
LA7,IBS_06,3,246
LB0,IBS_06,7,196
LA5,IBS_06,7,226
LB7,IBS_06,3,253
LB0,IBS_06,8,195
LA7,IBS_06,9,246
LA5,IBS_06,8,226
LB6,IBS_06,6,249
LA1,IBS_06,5,189
LB6,IBS_06,9,249
LB3,IBS_06,7,213
LB6,IBS_06,2,249
LA1,IBS_06,10,189
LB0,IBS_06,10,197
LA7,IBS_06,4,246
LB4,IBS_06,10,226
LA0,IBS_06,9,189
LB3,IBS_06,6,213
LA0,IBS_06,5,189
LA1,IBS_06,6,189
LB3,IBS_06,4,213
LB2,IBS_06,4,197
LB6,IBS_06,3,249
LA6,IBS_06,10,239
LA2,IBS_06,8,191
LA1,IBS_06,1,189
LA7,IBS_06,1,246
LA3,IBS_06,2,207
LB1,IBS_06,10,196
LA6,IBS_06,1,239
LB6,IBS_06,7,249
LB4,IBS_06,1,226
LB2,IBS_06,1,197
LB5,IBS_06,4,235
LB0,IBS_06,3,198
LB5,IBS_06,7,235
LA3,IBS_06,7,207
LB7,IBS_06,10,253
LB0,IBS_06,6,195
LA5,IBS_06,5,226
LB3,IBS_06,9,213
LB3,IBS_06,10,213
LB5,IBS_06,9,235
LB3,IBS_06,2,213
LB1,IBS_06,7,196
LA0,IBS_06,2,189
LB2,IBS_06,9,197
LB4,IBS_06,6,226
LB2,IBS_06,7,197
LA4,IBS_06,8,216
LA0,IBS_06,6,189
LA0,IBS_06,8,189
LB4,IBS_06,2,226
LB4,IBS_06,5,226
LB5,IBS_06,10,235
LB5,IBS_06,2,235
LA4,IBS_06,5,216
LB7,IBS_06,2,253
LB0,IBS_06,1,196
LB6,IBS_06,1,249
LA3,IBS_06,4,207
LA4,IBS_06,10,216
LA1,IBS_06,2,189
LA3,IBS_06,6,207
LB2,IBS_06,6,197
LA1,IBS_06,9,189
LA7,IBS_06,10,246
LB7,IBS_06,5,253
LB7,IBS_06,1,253
LA3,IBS_06,10,207
LA4,IBS_06,1,216
LA0,IBS_06,1,189
LA6,IBS_06,3,239
LB2,IBS_06,10,197
LA7,IBS_06,6,246
LA4,IBS_06,7,216
LB0,IBS_06,4,199
LB2,IBS_06,3,197
LA1,IBS_06,4,189
LB7,IBS_06,7,253
LA2,IBS_06,2,192
LB3,IBS_06,5,213
LB1,IBS_06,8,196
LB3,IBS_06,8,213
LA2,IBS_06,1,192
LA4,IBS_06,2,216
LA5,IBS_06,9,226
LB7,IBS_06,9,253
LA0,IBS_06,3,189
LA0,IBS_06,10,189
LB1,IBS_06,3,196
LA6,IBS_06,5,239
LA2,IBS_06,5,192
LB7,IBS_06,4,253
LA3,IBS_06,5,207
LA2,IBS_06,7,190
LA6,IBS_06,6,239
LB4,IBS_06,8,226
LA5,IBS_06,2,226
LA2,IBS_06,4,191
LB1,IBS_06,5,196
LA2,IBS_06,9,191
LB1,IBS_06,1,196
LA1,IBS_06,8,189
LB6,IBS_06,4,249
LA5,IBS_06,1,226
LA6,IBS_06,8,239
LA4,IBS_06,9,216
LB6,IBS_06,10,249
LA3,IBS_06,1,207
LB5,IBS_06,5,235
LA5,IBS_06,6,226
LB7,IBS_06,6,253
LA3,IBS_06,3,207
LA6,IBS_06,9,239
LA3,IBS_06,9,207
LB2,IBS_06,5,197
LA6,IBS_06,2,239
LB1,IBS_06,2,196
LA6,IBS_06,4,239
LA0,IBS_08,9,189
LB0,IBS_08,4,197
LB5,IBS_08,8,235
LA7,IBS_08,4,246
LA5,IBS_08,10,226
LA5,IBS_08,1,226
LA7,IBS_08,9,246
LA0,IBS_08,3,189
LB4,IBS_08,4,226
LB6,IBS_08,5,249
LA7,IBS_08,6,246
LB7,IBS_08,4,253
LA3,IBS_08,8,207
LB4,IBS_08,9,226
LB6,IBS_08,8,249
LB5,IBS_08,9,235
LB1,IBS_08,3,196
LA1,IBS_08,5,189
LA2,IBS_08,2,192
LA3,IBS_08,2,207
LB2,IBS_08,7,197
LA4,IBS_08,1,216
LA2,IBS_08,7,190
LA6,IBS_08,6,239
LA3,IBS_08,9,207
LA3,IBS_08,5,207
LB4,IBS_08,10,226
LB4,IBS_08,5,226
LB5,IBS_08,2,235
LB2,IBS_08,10,197
LA5,IBS_08,8,226
LA1,IBS_08,2,189
LB4,IBS_08,2,226
LB0,IBS_08,6,196
LA1,IBS_08,7,189
LA3,IBS_08,10,207
LB5,IBS_08,4,235
LB1,IBS_08,10,196
LA1,IBS_08,10,189
LB6,IBS_08,9,249
LA2,IBS_08,1,192
LB6,IBS_08,10,249
LA0,IBS_08,8,189
LA2,IBS_08,5,192
LB2,IBS_08,4,197
LA7,IBS_08,8,246
LB2,IBS_08,9,197
LA5,IBS_08,5,226
LB1,IBS_08,4,197
LB0,IBS_08,8,196
LA1,IBS_08,8,189
LB2,IBS_08,2,197
LB7,IBS_08,10,253
LB3,IBS_08,4,213
LB3,IBS_08,3,213
LB3,IBS_08,2,213
LB6,IBS_08,3,249
LA7,IBS_08,2,246
LA1,IBS_08,9,189
LB6,IBS_08,6,249
LA2,IBS_08,4,191
LB2,IBS_08,6,197
LB7,IBS_08,1,253
LB7,IBS_08,7,253
LA2,IBS_08,6,191
LA0,IBS_08,2,189
LB5,IBS_08,1,235
LA0,IBS_08,1,189
LA6,IBS_08,8,239
LA5,IBS_08,6,226
LB1,IBS_08,1,196
LA7,IBS_08,5,246
LA7,IBS_08,7,246
LB2,IBS_08,3,197
LA3,IBS_08,3,207
LA6,IBS_08,9,239
LA1,IBS_08,1,189
LB7,IBS_08,2,253
LB1,IBS_08,7,196
LA4,IBS_08,3,216
LA0,IBS_08,5,189
LB3,IBS_08,5,213
LA0,IBS_08,6,189
LA6,IBS_08,3,239
LB4,IBS_08,6,226
LA3,IBS_08,7,207
LA4,IBS_08,10,216
LA1,IBS_08,3,189
LB5,IBS_08,7,235
LB4,IBS_08,3,226
LB0,IBS_08,9,197
LA0,IBS_08,10,189
LB6,IBS_08,7,249
LA4,IBS_08,2,216
LB4,IBS_08,1,226
LA4,IBS_08,4,216
LB1,IBS_08,6,197
LB3,IBS_08,7,213
LB3,IBS_08,6,213
LA4,IBS_08,9,216
LB4,IBS_08,8,226
LA5,IBS_08,9,226
LA6,IBS_08,10,239
LB2,IBS_08,5,197
LB7,IBS_08,3,253
LB0,IBS_08,5,196
LA5,IBS_08,4,226
LA2,IBS_08,8,191
LA2,IBS_08,10,192
LA1,IBS_08,4,189
LB0,IBS_08,2,196
LB6,IBS_08,4,249
LA6,IBS_08,2,239
LA7,IBS_08,10,246
LB7,IBS_08,8,253
LB2,IBS_08,8,197
LA2,IBS_08,9,191
LB2,IBS_08,1,197
LB7,IBS_08,5,253
LA4,IBS_08,6,216
LA4,IBS_08,5,216
LB0,IBS_08,10,197
LA4,IBS_08,8,216
LB6,IBS_08,2,249
LB3,IBS_08,10,213
LB1,IBS_08,2,196
LA6,IBS_08,7,239
LB3,IBS_08,1,213
LB6,IBS_08,1,249
LA5,IBS_08,7,226
LA7,IBS_08,3,246
LB5,IBS_08,10,235
LB3,IBS_08,8,213
LB0,IBS_08,7,200
LB5,IBS_08,6,235
LB5,IBS_08,5,235
LA6,IBS_08,1,239
LA3,IBS_08,4,207
LA4,IBS_08,7,216
LA6,IBS_08,5,239
LA5,IBS_08,2,226
LB5,IBS_08,3,235
LA1,IBS_08,6,189
LB1,IBS_08,5,196
LB1,IBS_08,9,196
LB0,IBS_08,1,195
LB7,IBS_08,6,253
LB4,IBS_08,7,226
LA0,IBS_08,4,189
LA5,IBS_08,3,226
LB0,IBS_08,3,197
LA6,IBS_08,4,239
LB3,IBS_08,9,213
LA0,IBS_08,7,189
LA7,IBS_08,1,246
LB1,IBS_08,8,197
LA2,IBS_08,3,192
LA3,IBS_08,6,207
LB7,IBS_08,9,253
LA3,IBS_08,1,207
LB5,IBS_1,10,235
LA2,IBS_1,1,192
LA3,IBS_1,9,207
LB5,IBS_1,9,235
LA5,IBS_1,7,226
LA7,IBS_1,1,246
LA6,IBS_1,5,239
LB6,IBS_1,8,249
LA4,IBS_1,2,216
LA0,IBS_1,5,189
LB2,IBS_1,7,197
LB4,IBS_1,2,226
LB2,IBS_1,5,197
LA1,IBS_1,3,189
LB3,IBS_1,8,213
LA6,IBS_1,2,239
LA1,IBS_1,5,189
LA3,IBS_1,3,207
LA5,IBS_1,10,226
LA6,IBS_1,8,239
LA6,IBS_1,1,239
LB4,IBS_1,7,226
LA4,IBS_1,10,216
LA2,IBS_1,4,191
LA5,IBS_1,2,226
LA2,IBS_1,7,190
LA3,IBS_1,5,207
LB6,IBS_1,3,249
LA0,IBS_1,8,189
LB2,IBS_1,10,197
LB4,IBS_1,1,226
LB4,IBS_1,10,226
LB3,IBS_1,3,213
LB7,IBS_1,8,253
LA3,IBS_1,1,207
LB0,IBS_1,4,197
LA6,IBS_1,6,239
LA5,IBS_1,5,226
LA6,IBS_1,9,239
LA4,IBS_1,4,216
LB6,IBS_1,9,249
LB4,IBS_1,5,226
LB3,IBS_1,4,213
LA6,IBS_1,4,239
LB7,IBS_1,4,253
