instance,algorithm,seed,objv,lb
LB5,OLDMIP,6,inf,154.0
LA3,OLDMIP,7,262.0,145.0
LA4,OLDMIP,4,inf,139.0
LB3,OLDMIP,5,242.0,138.0
LB1,OLDMIP,5,inf,123.0
LB1,OLDMIP,8,222.0,110.0
LB6,OLDMIP,7,280.0,147.0
LB0,OLDMIP,2,inf,95.0
LB2,OLDMIP,1,inf,99.0
LA3,OLDMIP,5,257.0,151.0
LA3,OLDMIP,1,269.0,147.0
LB1,OLDMIP,1,218.0,113.0
LA5,OLDMIP,1,inf,161.0
LB1,OLDMIP,4,inf,122.0
LB1,OLDMIP,7,221.0,117.0
LA0,OLDMIP,2,218.0,103.0
LB5,OLDMIP,10,inf,152.0
LB1,OLDMIP,3,230.0,110.0
LA2,OLDMIP,6,229.0,101.0
LA6,OLDMIP,7,286.0,150.0
LB6,OLDMIP,1,270.0,151.0
LA3,OLDMIP,6,214.0,145.0
LA2,OLDMIP,8,231.0,102.0
LA5,OLDMIP,5,293.0,160.0
LA7,OLDMIP,10,297.0,182.0
LB0,OLDMIP,5,inf,98.0
LB2,OLDMIP,10,229.0,103.0
LA0,OLDMIP,6,233.0,99.0
LB7,OLDMIP,1,inf,172.0
LA3,OLDMIP,3,inf,152.0
LB6,OLDMIP,6,inf,151.0
LB3,OLDMIP,1,inf,141.0
LA3,OLDMIP,9,249.0,144.0
LB7,OLDMIP,5,inf,180.0
LA0,OLDMIP,5,inf,107.0
LA2,OLDMIP,7,inf,112.0
LA1,OLDMIP,7,246.0,120.0
LA6,OLDMIP,8,277.0,156.0
LB4,OLDMIP,4,inf,120.0
LA6,OLDMIP,2,272.0,149.0
LB5,OLDMIP,2,279.0,149.0
LB5,OLDMIP,8,262.0,151.0
LB2,OLDMIP,4,225.0,91.0
LB0,OLDMIP,1,inf,92.0
LA3,OLDMIP,10,255.0,152.0
LB6,OLDMIP,2,273.0,149.0
LA1,OLDMIP,4,264.0,120.0
LB3,OLDMIP,8,249.0,138.0
LA4,OLDMIP,8,inf,139.0
LA4,OLDMIP,10,inf,137.0
LB1,OLDMIP,6,243.0,110.0
LB6,OLDMIP,5,284.0,145.0
LA1,OLDMIP,3,234.0,123.0
LB5,OLDMIP,5,272.0,148.0
LA7,OLDMIP,4,297.0,179.0
LB1,OLDMIP,10,inf,117.0
LB0,OLDMIP,3,inf,97.0
LB5,OLDMIP,7,282.0,152.0
LA4,OLDMIP,6,inf,143.0
LA7,OLDMIP,7,303.0,174.0
LB4,OLDMIP,6,inf,120.0
LB7,OLDMIP,3,inf,175.0
LB2,OLDMIP,8,inf,96.0
LA2,OLDMIP,5,248.0,105.0
LA2,OLDMIP,10,254.0,89.0
LA7,OLDMIP,9,285.0,174.0
LB4,OLDMIP,1,246.0,119.0
LB5,OLDMIP,3,252.0,149.0
LB6,OLDMIP,4,inf,159.0
LB7,OLDMIP,10,294.0,173.0
LA7,OLDMIP,5,303.0,179.0
LB4,OLDMIP,9,inf,131.0
