instance,algorithm,seed,objv
LA5,IBS_FN,3,226
LB1,IBS_FN,2,196
LB5,IBS_FN,4,235
LB7,IBS_FN,9,253
LA1,IBS_FN,8,189
LA5,IBS_FN,4,226
LA4,IBS_FN,3,216
LA3,IBS_FN,9,207
LA3,IBS_FN,7,207
LB0,IBS_FN,5,196
LA3,IBS_FN,4,207
LB5,IBS_FN,8,235
LB4,IBS_FN,1,226
LA6,IBS_FN,6,239
LA2,IBS_FN,10,190
LA7,IBS_FN,2,246
LB0,IBS_FN,3,196
LB7,IBS_FN,5,253
LB6,IBS_FN,2,249
LB7,IBS_FN,3,253
LB5,IBS_FN,3,235
LB7,IBS_FN,1,253
LA4,IBS_FN,7,216
LA7,IBS_FN,4,246
LA0,IBS_FN,10,189
LA4,IBS_FN,9,216
LB7,IBS_FN,6,253
LB3,IBS_FN,8,213
LA6,IBS_FN,8,239
LB2,IBS_FN,3,197
LA7,IBS_FN,8,246
LB1,IBS_FN,9,196
LB1,IBS_FN,5,196
LA5,IBS_FN,2,226
LA6,IBS_FN,1,239
LB1,IBS_FN,4,196
LB3,IBS_FN,10,213
LA5,IBS_FN,5,226
LA5,IBS_FN,8,226
LA2,IBS_FN,3,190
LB2,IBS_FN,7,197
LA3,IBS_FN,10,207
LA1,IBS_FN,9,189
LA6,IBS_FN,3,239
LB0,IBS_FN,10,196
LA4,IBS_FN,5,216
LA7,IBS_FN,5,246
LA2,IBS_FN,6,190
LA1,IBS_FN,1,189
LA3,IBS_FN,3,207
LA7,IBS_FN,10,246
LA1,IBS_FN,4,189
LB6,IBS_FN,3,249
LB6,IBS_FN,9,249
LA3,IBS_FN,2,207
LB5,IBS_FN,9,235
LA2,IBS_FN,8,190
LB5,IBS_C,4,254
LA4,IBS_C,8,243
LA1,IBS_C,5,214
LA4,IBS_C,7,247
LA1,IBS_C,1,220
LB4,IBS_C,3,246
LA6,IBS_C,2,274
LA0,IBS_C,3,215
LA0,IBS_C,2,212
LA2,IBS_C,8,213
LB4,IBS_C,2,249
LB3,IBS_C,10,230
LB2,IBS_C,8,212
LB7,IBS_C,7,265
LB1,IBS_C,8,221
LB4,IBS_C,1,253
LB4,IBS_C,6,255
LB2,IBS_C,10,214
LB3,IBS_C,8,231
LA0,IBS_C,10,217
LA3,IBS_C,6,235
LB7,IBS_C,6,267
LA4,IBS_C,5,253
LB5,IBS_C,6,253
LA1,IBS_C,2,220
LA6,IBS_C,10,271
LB5,IBS_C,9,256
LB0,IBS_C,6,214
LA7,IBS_C,10,267
LB7,IBS_C,3,266
LA5,IBS_C,9,247
LB6,IBS_C,9,267
LA6,IBS_C,3,271
LA2,IBS_C,3,214
LB6,IBS_C,3,269
LA5,IBS_C,1,255
LB7,IBS_C,10,269
LB1,IBS_C,5,222
LB2,IBS_C,9,214
LA6,IBS_C,1,276
LA2,IBS_C,10,210
LB3,IBS_C,5,232
LB4,IBS_C,10,252
LA2,IBS_C,5,212
LB3,IBS_C,4,226
LA0,IBS_C,5,204
LB6,IBS_C,10,272
LA5,IBS_C,8,253
LB1,IBS_C,6,224
LB6,IBS_C,6,269
LB5,IBS_C,1,251
LA5,IBS_C,6,251
LB0,IBS_C,10,212
LA3,IBS_C,2,227
LA4,IBS_C,1,250
LA5,IBS_C,10,243
LA5,IBS_C,2,252
LA5,IBS_C,5,259
LA3,IBS_C,9,237
LB3,IBS_C,2,233
LA2,IBS_C,2,209
LA7,IBS_C,2,266
LB1,IBS_C,1,219
LA0,IBS_C,6,211
LA3,IBS_C,4,232
LA7,IBS_C,7,266
LA3,IBS_C,1,225
LB2,IBS_C,2,212
LA4,IBS_C,10,246
LB0,IBS_C,2,214
LA3,IBS_C,7,230
LB1,IBS_C,7,219
LA1,IBS_C,9,218
LA1,IBS_C,6,218
LB2,IBS_C,5,212
LA6,IBS_C,5,274
LA0,IBS_C,9,211
LB4,IBS_C,7,251
LB6,IBS_C,4,268
LA1,IBS_C,3,220
LB4,IBS_C,9,252
LA6,IBS_C,8,267
LB1,IBS_C,10,219
LA4,IBS_C,2,246
LB1,IBS_C,4,222
LB1,IBS_C,9,220
LA0,IBS_C,4,216
LB6,IBS_C,7,269
LA0,IBS_C,8,215
LB0,IBS_C,8,216
LB5,IBS_C,10,257
LA3,IBS_C,5,230
LB2,IBS_C,3,214
LB0,IBS_C,5,212
LA0,IBS_C,1,213
LA4,IBS_C,6,247
LB6,IBS_C,1,272
LB7,IBS_C,5,268
LA7,IBS_C,1,272
LA4,IBS_C,4,249
LB6,IBS_C,2,263
LB0,IBS_C,9,213
LB2,IBS_C,1,215
LB0,IBS_C,3,213
LB6,IBS_C,5,272
LB3,IBS_C,9,229
LB0,IBS_C,7,211
LA1,IBS_C,4,207
LB1,IBS_C,2,221
LB4,IBS_C,4,253
LA5,IBS_C,4,246
LB7,IBS_C,4,264
LA4,IBS_C,3,238
LB4,IBS_C,8,251
LA7,IBS_C,6,267
LA2,IBS_C,9,212
LA7,IBS_C,3,267
LB5,IBS_C,3,251
LA6,IBS_C,7,273
LA2,IBS_C,4,211
LA6,IBS_C,4,268
LA3,IBS_C,3,238
LA6,IBS_C,9,276
LA7,IBS_C,9,271
LB7,IBS_C,2,266
LB2,IBS_C,6,215
LA7,IBS_C,5,267
LB3,IBS_C,1,231
LB3,IBS_C,7,230
LA5,IBS_C,7,261
LB2,IBS_C,4,213
LA1,IBS_C,8,218
LB3,IBS_C,3,231
LB5,IBS_C,2,251
LB0,IBS_C,1,216
LA2,IBS_C,6,211
LB2,IBS_C,7,213
LA3,IBS_C,10,238
LA6,IBS_C,6,275
