instance,algorithm,seed,objv,lb,bkv,bklb,delay,num_resources
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,3,822.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,4,822.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,1,822.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,6,822.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,9,894.0,438.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,6,771.0,430.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,1,898.0,409.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,10,817.0,432.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,3,900.0,436.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,4,898.0,422.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,8,840.0,435.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,5,751.0,442.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,2,824.0,443.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,LBBD,7,900.0,438.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,8,895.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,10,893.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,4,896.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,2,891.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,9,849.0,0.0,615.0,443.0,High,Moderate
